id,employee_id,first_date_of_week,created_at
1,91252307-f6d8-43ce-8721-d58c9d5fd7c5,2022-03-28 00:00:00.0000000,2022-04-03 16:52:52.8566667
2,ee8c5079-cdd3-450c-93d9-a9c9918b55b2,2022-03-28 00:00:00.0000000,2022-04-04 05:00:15.3700000
3,cbdeafc4-f57b-4253-845e-2f0a67ee73a4,2022-04-04 00:00:00.0000000,2022-04-04 10:05:07.1200000
4,bc4f8bb0-5bf1-4a93-9c77-6e78dc964d46,2022-04-04 00:00:00.0000000,2022-04-04 13:38:07.1900000
5,5e6c219a-f648-419d-a036-aea9161c61c4,2022-04-04 00:00:00.0000000,2022-04-04 14:34:06.2533333
7,2cd47680-6bd6-4972-9235-7832e3641825,2022-04-04 00:00:00.0000000,2022-04-04 17:28:05.8366667
8,27d5bf18-b6b2-4183-8b2e-9daa93f3a89e,2022-04-04 00:00:00.0000000,2022-04-05 09:14:45.7033333
11,333e1fbe-331a-4587-b2d3-509d3b16583b,2022-04-04 00:00:00.0000000,2022-04-05 14:12:55.4866667
13,3d04b045-8d32-44f2-9ae9-65147895f4e7,2022-03-28 00:00:00.0000000,2022-04-06 09:13:50.7500000
14,9ab22448-4eca-4464-bd59-c4727fe1ddc9,2022-04-04 00:00:00.0000000,2022-04-06 09:45:02.8833333
15,dbeb9df8-6b40-4e71-83cd-c0b46c90feb0,2022-04-04 00:00:00.0000000,2022-04-06 09:50:59.1366667
16,b2687763-b317-4440-984f-8c364b172719,2022-04-04 00:00:00.0000000,2022-04-06 16:04:09.5933333
18,c1275107-9fcd-46d7-b4f1-405b18eff5fc,2022-04-04 00:00:00.0000000,2022-04-06 16:27:52.3333333
19,a72de184-24d6-4c0e-a134-0cd143c02c1b,2022-04-04 00:00:00.0000000,2022-04-07 09:26:45.0700000
20,2e02996d-0a10-4636-858f-d1265c4e98f9,2022-04-04 00:00:00.0000000,2022-04-07 09:45:42.9633333
21,bd7f706e-f027-4469-adf9-492fb9ee3d45,2022-04-04 00:00:00.0000000,2022-04-07 09:59:15.0966667
22,20adfeb3-5ae1-43f7-bff2-f9a1302e1a76,2022-04-04 00:00:00.0000000,2022-04-07 12:52:33.9366667
23,16ed9796-602a-4bc7-8c0e-3593da1c4444,2022-04-04 00:00:00.0000000,2022-04-07 14:31:27.2566667
24,5b4316b0-ffce-4f00-9414-ce3cede3d635,2022-04-04 00:00:00.0000000,2022-04-07 14:44:37.1900000
25,7ba04727-579f-41ab-ac86-02f5747517f9,2022-04-04 00:00:00.0000000,2022-04-07 15:03:04.3066667
26,e54a933c-ad99-4801-801c-9bf2ebe1c918,2022-04-04 00:00:00.0000000,2022-04-07 15:09:10.7533333
27,5b2d57d5-c81c-4ac8-84e5-aa3a3314f381,2022-04-04 00:00:00.0000000,2022-04-07 15:20:40.0333333
28,a217b68c-39fe-44df-8197-665f23903049,2022-04-04 00:00:00.0000000,2022-04-07 15:20:52.1366667
